match_id,date,home_team,away_team,competition,sb_stage,sb_match_week,stadium,referee,home_xg,away_xg,home_shots,away_shots,home_sot,away_sot,home_corners,away_corners,home_fouls,away_fouls,home_yellow,away_yellow,home_red,away_red,home_passes,away_passes,home_goals_sb,away_goals_sb,possession_note
922164adca,2024-07-01,United States,Uruguay,Copa America 2024,Group Stage,3,Arrowhead Stadium,Kevin Ortega,0.471,1.272,8,12,2,5,2,3,12,15,2,1,0,0,376,352,0,1,not in open data; use pass share as proxy
75759690c4,2024-07-02,Austria,Turkey,UEFA Euro 2024,Round of 16,4,Red Bull Arena,Artur Manuel Ribeiro Soares Dias,2.487,0.883,21,6,5,3,10,4,12,5,2,2,0,0,628,427,1,2,not in open data; use pass share as proxy
43856f0f5b,2024-07-02,Brazil,Colombia,Copa America 2024,Group Stage,3,Levi''s Stadium,Jesús Valenzuela Sáez,0.306,1.503,7,13,3,6,6,5,16,20,3,2,0,0,446,448,1,1,not in open data; use pass share as proxy
6ded771840,2024-07-02,Costa Rica,Paraguay,Copa America 2024,Group Stage,3,Q2 Stadium,Yael Falcón Pérez,0.272,1.44,2,17,2,6,1,6,14,17,3,3,0,0,304,569,2,1,not in open data; use pass share as proxy
12565386a5,2024-07-02,Romania,Netherlands,UEFA Euro 2024,Round of 16,4,Allianz Arena,Felix Zwayer,0.268,2.626,5,24,1,6,4,12,11,9,2,2,0,0,319,559,0,3,not in open data; use pass share as proxy
2edfa71be0,2024-07-04,Argentina,Ecuador,Copa America 2024,Quarter-finals,4,NRG Stadium,Andrés Matonte,0.859,1.389,8,9,2,2,2,5,15,16,2,2,0,0,401,392,1,1,not in open data; use pass share as proxy
f5db8bec23,2024-07-05,Germany,Spain,UEFA Euro 2024,Quarter-finals,5,MHPArena,Anthony Taylor,1.629,1.534,23,19,5,6,5,1,22,17,8,7,0,1,655,606,1,2,not in open data; use pass share as proxy
d47aad19ab,2024-07-05,Portugal,France,UEFA Euro 2024,Quarter-finals,5,Volksparkstadion,Michael Oliver,1.409,1.067,15,20,4,5,11,4,11,16,1,1,0,0,927,625,0,0,not in open data; use pass share as proxy
c5c5e93ee5,2024-07-05,Venezuela,Canada,Copa America 2024,Quarter-finals,4,AT&T Stadium,Wilton Pereira Sampaio,0.922,1.351,15,16,3,5,7,3,8,13,1,2,0,0,476,384,1,1,not in open data; use pass share as proxy
cffc6d766d,2024-07-06,Colombia,Panama,Copa America 2024,Quarter-finals,4,State Farm Stadium,Maurizio Mariani,2.18,0.61,7,14,5,2,4,2,15,23,1,3,0,0,412,370,5,0,not in open data; use pass share as proxy
722fd386a1,2024-07-06,England,Switzerland,UEFA Euro 2024,Quarter-finals,5,Merkur Spiel-Arena,Daniele Orsato,0.537,1.201,13,12,3,3,4,2,9,15,1,2,0,0,738,673,1,1,not in open data; use pass share as proxy
10b607fefe,2024-07-06,Netherlands,Turkey,UEFA Euro 2024,Quarter-finals,5,Olympiastadion Berlin,Clément Turpin,0.719,1.182,11,15,4,4,3,7,16,9,4,1,0,1,569,395,2,1,not in open data; use pass share as proxy
e832498ad6,2024-07-06,Uruguay,Brazil,Copa America 2024,Quarter-finals,4,Allegiant Stadium,Darío Herrera,0.63,0.676,12,7,1,3,6,2,29,16,2,2,1,0,282,426,0,0,not in open data; use pass share as proxy
330f39cdac,2024-07-09,Argentina,Canada,Copa America 2024,Semi-finals,5,MetLife Stadium,Piero Maza Gomez,1.754,0.718,11,9,3,2,2,2,6,16,1,3,0,0,506,477,2,0,not in open data; use pass share as proxy
6377129b7c,2024-07-09,Spain,France,UEFA Euro 2024,Semi-finals,6,Allianz Arena,Slavko Vinčić,0.422,0.851,6,9,2,3,4,6,10,14,2,2,0,0,542,391,2,1,not in open data; use pass share as proxy
34523b7588,2024-07-10,Netherlands,England,UEFA Euro 2024,Semi-finals,6,Signal-Iduna-Park,Felix Zwayer,0.412,1.237,7,9,3,5,3,0,13,11,3,3,0,0,445,617,1,2,not in open data; use pass share as proxy
d53bd88113,2024-07-10,Uruguay,Colombia,Copa America 2024,Semi-finals,5,Bank of America Stadium,César Arturo Ramos Palazuelos,0.755,1.172,11,11,2,4,4,3,14,16,3,5,0,1,457,302,0,1,not in open data; use pass share as proxy
e56d3c19ce,2024-07-13,Canada,Uruguay,Copa America 2024,3rd Place Final,6,Bank of America Stadium,Alexis Herrera,2.288,1.516,14,12,5,5,7,6,19,19,3,2,0,0,379,364,2,2,not in open data; use pass share as proxy
85702c8562,2024-07-14,Argentina,Colombia,Copa America 2024,Final,6,Hard Rock Stadium,Raphael Claus,1.083,0.972,11,19,5,4,4,7,11,20,2,2,0,0,537,660,1,0,not in open data; use pass share as proxy
8cc610b914,2024-07-14,Spain,England,UEFA Euro 2024,Final,7,Olympiastadion Berlin,François Letexier,1.792,0.726,16,9,6,3,10,2,12,7,1,3,0,0,592,323,2,1,not in open data; use pass share as proxy
